Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
twoind_15.0,0.00015044713333882916,4.953566934796813e-05
twoind_16.0,6.991251891042497e-06,3.517614420297281e-07
twoind_18.0,4.7205358000261976e-05,3.921332985801839e-06
twoind_19.0,1.2334470353839395e-06,5.327297683941746e-07
twoind_20.0,5.480848431232865e-06,1.8387648111143406e-06
twoind_21.0,5.4632578187351514e-05,6.4433756335207245e-06
twoind_22.0,1.4949953953563025e-05,5.5048694097729895e-06
twoind_23.0,5.920417215478374e-06,3.3419630145607327e-06
twoind_24.0,3.906953613958068e-05,3.7249965177443843e-06
twoind_25.0,1.0038049507193876e-05,6.4836436005005734e-06
twoind_27.0,1.079717744622835e-05,1.5016111383408864e-06
twoind_28.0,9.377561572686512e-06,1.2802264920910745e-06
twoind_29.0,9.449393167600915e-05,2.8554906794398093e-05
twoind_30.0,0.00035896550112659377,1.6698187130360898e-05
twoind_31.0,2.0473928124449217e-06,9.178949823859002e-07
twoind_32.0,4.301001251953512e-06,4.301001251953512e-06
twoind_33.0,5.233477279142446e-06,3.836848744917893e-06
twoind_34.0,4.409940020980616e-06,8.942272078247228e-07
EDU1,0.00012464540574103931,4.048253446091258e-07
EDU2,8.121957907785206e-05,2.25498117184596e-06
EDU3,0.00010265175977691622,1.682779082073723e-05
EDU4,3.858090961753012e-05,1.2769119091729385e-05
