Feature,Average SHAP Value,Abs Mean SHAP (Net directional)
twoind_18.0,0.00028527922196037173,1.671029881801745e-05
twoind_19.0,1.382124655622597e-05,1.0810031766985848e-05
twoind_20.0,6.400628160874599e-06,2.788863759096875e-06
twoind_21.0,0.00013960838047221794,3.452550827896327e-05
twoind_22.0,4.786992342402126e-05,9.466643203299301e-06
twoind_23.0,8.60535432650282e-06,1.2723595040483107e-06
twoind_24.0,0.00013093162906266842,4.3866666273602645e-05
twoind_25.0,6.0951229852727786e-05,5.9124285138762606e-06
twoind_27.0,2.830327090451471e-05,3.9096618295564e-06
twoind_28.0,2.1069068157910567e-05,8.717838188576953e-06
twoind_29.0,0.00020511711657213662,3.143148209337275e-05
twoind_30.0,0.0012936098227243433,4.79512595402931e-05
twoind_31.0,4.67350175850892e-05,9.228308122164428e-06
twoind_32.0,5.754572324032156e-07,5.754572324032156e-07
twoind_33.0,0.00030098977381056536,3.804085135586908e-05
twoind_34.0,1.389029929709696e-05,7.358344123113723e-06
agebin_1.0,0.00037829922800153943,2.7901244861029682e-05
agebin_2.0,0.00037856110363664345,1.5379567111373974e-05
agebin_3.0,0.0005743088325768611,1.0411735490719364e-05
agebin_4.0,0.00029512674807500135,4.589736762678731e-06
agebin_5.0,0.00020259561855103582,4.276472039448646e-05
EDU1,0.0004895708775134237,7.42329296686545e-05
EDU2,0.00014050656026546592,3.3302924510642487e-06
EDU3,0.0003046765231123875,2.3864405209923206e-05
EDU4,9.587751682625665e-05,2.1882326570057927e-05
