Feature,Average SHAP Value
occ_63.0,7.032763413020543e-06
occ_93.0,6.509305613682961e-06
twoind_4.0,5.078975676619198e-06
occ_16.0,4.316643240346052e-06
occ_15.0,4.125543245326428e-06
occ_38.0,3.834013480693102e-06
occ_89.0,3.2976248547700903e-06
twoind_24.0,2.7259049337948735e-06
occ_6.0,2.675054108655397e-06
occ_9.0,2.587182623633322e-06
occ_81.0,2.19670468035786e-06
occ_64.0,1.8725480932210173e-06
occ_71.0,1.8506490150799217e-06
occ_56.0,1.8433932875715462e-06
occ_59.0,1.6975406102220795e-06
occ_5.0,1.6755727958807264e-06
occ_18.0,1.323869070969522e-06
occ_54.0,1.1069577686006872e-06
occ_88.0,1.0070748176159603e-06
occ_1.0,7.442950527064178e-07
occ_80.0,7.165113745556612e-07
censdiv_0.0,6.718728296318015e-07
occ_42.0,6.487336922436951e-07
occ_49.0,5.434988106467895e-07
occ_43.0,3.7777421756514485e-07
twoind_32.0,2.490842602188812e-07
occ_82.0,1.8270776720185364e-07
occ_62.0,1.352359978887502e-07
occ_35.0,0.0
occ_36.0,0.0
occ_94.0,0.0
occ_52.0,0.0
